Abstract,Category
Lung cancer is one of the commonest malignant neoplasms all over the world. It accounts for more cancer deaths than any other cancer. It is increasingly being recognized in India.,Lung_Cancer
"MicroRNAs have become recognized as key players in the development of cancer. They are a family of small non-coding RNAs that can negatively regulate the expression of cancer-related genes by sequence-selective targeting of mRNAs, leading to either mRNA degradation or translational repression. Lung cancer is the leading cause of cancer-related death worldwide with a substantially low survival rate. MicroRNAs have been confirmed to play roles in lung cancer development, epithelial-mesenchymal transition and response to therapy. They are also being studied for their future use as diagnostic and prognostic biomarkers and as potential therapeutic targets. In this review we focus on the role of dysregulated microRNA expression in lung tumorigenesis. We also discuss the role of microRNAs in therapeutic resistance and as biomarkers. We further look into the progress made and challenges remaining in using microRNAs for therapy in lung cancer.",Lung_Cancer
"The objective of this study was to define the epidemiology of thyroid cancer in our regional population and compare results with Surveillance, Epidemiology, and End RESULTS (SEER) Program cancer registry trends.",Thyroid_Cancer
"Silvia Novello speaks to Roshaine Wijayatunga, Managing Commissioning Editor: Silvia Novello is a Full Professor of Medical Oncology in the Oncology Department at San Luigi Hospital in Orbassano, Italy, part of the University of Turin. She earned her medical degree and completed the postgraduate training in respiratory medicine and medical oncology at the University of Turin and partially at the Institut Gustave Roussy in France. Currently, she is head of the Thoracic Oncology Unit at the San Luigi Hospital, Orbassano (Turin), where she also tutors medical students and postgraduate students in respiratory medicine and medical oncology. Novello's research interests include thoracic malignancies, primary prevention, gender differences in lung cancer, basic and clinical applied research on lung cancer, including pharmacogenomics. She is involved in many European and national controlled clinical trials evaluating new approaches in diagnosis and lung cancer therapy. From July 2012 until 2016, Novello has been a Member of the Board of Directors of the International Association for the Study of Lung Cancer and since October 2016 Member of the Board of Directors of the Italian Association of Medical Oncology and member of other several scientific societies including the American Society of Clinical Oncology and the European Society of Medical Oncology. Currently, she is the President of Women Against Lung Cancer in Europe, a nonprofit European Association founded in 2006 in Turin, Italy, part of the scientific Committee of Lung cancer Europe and also a member of the Scientific Committee of Bonnie J Addario Lung Cancer Foundation and Member of the Scientific Committee of Investigaci n sobre C ncer de Pulm n en Mujeres. She is the author or co-author of over 100 publications in peer-reviewed journals.",Lung_Cancer
"Carcinoembryonic antigen (CEA), squamous cell carcinoma antigen (SCC), neuron-specific enolase (NSE), cytokeratin 19 fragment (CYFRA), and pro-gastrin-releasing peptide (proGRP) can be used as tumor markers for lung cancer. CEA is sensitive for adenocarcinoma, SCC and CYFRA for squamous cell carcinoma, and NSE and proGRP for small cell carcinoma. A tumor marker is generally used as a marker to monitor the clinical course. Serum levels of pro-GRP, reflect the disease course of patients with small cell lung cancer more accurately than NSE or CEA. Among the patients with clinical N0-1 non-small cell lung cancer high serum CEA levels, adenocarcinoma histology, and large tumor dimension were significant predictors of pathologic N2 disease. CEA played a new role in predicting metastasis to mediastinal lymph nodes A more effective treatment may enhance the value of tumor markers to predict relapse.",Lung_Cancer
"Thyroid cancer can be associated with thyrotoxicosis caused by Graves' disease, toxic multinodular goiter, or autonomously functioning thyroid adenoma. The objective of this study was to summarize current evidence regarding the association of thyroid cancer and hyperthyroidism, particularly with respect to the type of hyperthyroidism found in some patients, and whether this affects the outcome of the patient. A PubMed search was performed up to August 2011. Articles were identified using combinations of the following keywords/phrases: thyroid cancer, papillary thyroid cancer, follicular thyroid cancer, medullary thyroid cancer, anaplastic thyroid cancer, hyperthyroidism, Graves' disease, auto-nomous adenoma, toxic thyroid nodule, and toxic multinodular goiter. Original research papers, case reports, and review articles were included. We concluded that the incidence, as well as the prognosis of thyroid cancer associated with hyperthyroidism is a matter of debate. It seems that Graves' disease is associated with larger, multifocal, and potentially more aggressive thyroid cancer than single hot nodules or multinodular toxic goiter. Patients with Graves' and thyroid nodules are at higher risk to develop thyroid cancer compared to patients with diffuse goiter. Every suspicious nodule associated with hyperthyroidism should be evaluated carefully.",Thyroid_Cancer
"KRAS is one of the most commonly mutated oncogenes in lung cancer but has long been considered undruggable. With the recent FDA approval of sotorasib, supported by positive phase II trial data now published in The New England Journal of Medicine, this is no longer the case.",Lung_Cancer
"LRP1 (low-density lipoprotein receptor-related protein 1), a multifunctional endocytic receptor, has recently been identified as a hub within a biomarker network for multi-cancer clinical outcome prediction. As its role in colon cancer has not yet been characterized, we here investigate the relationship between LRP1 and outcome.",Colon_Cancer
"Projecting climate change is a generalization problem: We extrapolate the recent past using physical models across past, present, and future climates. Current climate models require representations of processes that occur at scales smaller than model grid size, which have been the main source of model projection uncertainty. Recent machine learning (ML) algorithms hold promise to improve such process representations but tend to extrapolate poorly to climate regimes that they were not trained on. To get the best of the physical and statistical worlds, we propose a framework, termed ""climate-invariant"" ML, incorporating knowledge of climate processes into ML algorithms, and show that it can maintain high offline accuracy across a wide range of climate conditions and configurations in three distinct atmospheric models. Our results suggest that explicitly incorporating physical knowledge into data-driven models of Earth system processes can improve their consistency, data efficiency, and generalizability across climate regimes.",Generic
"Over the last decade, surgical management of colon cancer became more individualized due to new preoperative, surgical and oncological strategies. Recent high-level evidence demonstrated a favorable impact of these advanced concepts, which require proper planning and challenging surgical management form a technical standpoint, on cancer-specific survival. To tailor the best strategy, cases have to be discussed in multidisciplinary tumor boards with specialists in medical oncology, radiology, gastroenterology and pathology. In this review, these innovations are summarized within their scientific context, with focus on new strategies of preoperative bowel preparation, neoadjuvant chemotherapy and technical aspects, to illustrate the complexity of current colon cancer management.",Colon_Cancer
"Lung cancer is the leading cause of cancer death in the United States, and the majority of diagnoses are made in former smokers. While avoidance of tobacco abuse and smoking cessation clearly will have the greatest impact on lung cancer development, effective chemoprevention could prove to be more effective than treatment of established disease. Chemoprevention is the use of dietary or pharmaceutical agents to reverse or inhibit the carcinogenic process and has been successfully applied to common malignancies other than lung. Despite previous studies in lung cancer chemoprevention failing to identify effective agents, our ability to determine higher risk populations and the understanding of lung tumor and pre-malignant biology continues to advance. Additional biomarkers of risk continue to be investigated and validated. The World Health Organization/International Association for the Study of Lung Cancer classification for lung cancer now recognizes distinct histologic lesions that can be reproducibly graded as precursors of non-small cell lung cancer. For example, carcinogenesis in the bronchial epithelium starts with normal epithelium and progresses through hyperplasia, metaplasia, dysplasia, and carcinoma in situ to invasive squamous cell cancer. Similar precursor lesions exist for adenocarcinoma, and these pre-malignant lesions are targeted by chemopreventive agents in current and future trials. At this time, chemopreventive agents can only be recommended as part of well-designed clinical trials, and multiple trials are currently in progress and additional trials are in the planning stages. This review will discuss the principles of chemoprevention, summarize the completed trials, and discuss ongoing and potential future trials with a focus on targeted pathways.",Lung_Cancer
"The machine learning field, which can be briefly defined as enabling computers make successful predictions using past experiences, has exhibited an impressive development recently with the help of the rapid increase in the storage capacity and processing power of computers. Together with many other disciplines, machine learning methods have been widely employed in bioinformatics. The difficulties and cost of biological analyses have led to the development of sophisticated machine learning approaches for this application area. In this chapter, we first review the fundamental concepts of machine learning such as feature assessment, unsupervised versus supervised learning and types of classification. Then, we point out the main issues of designing machine learning experiments and their performance evaluation. Finally, we introduce some supervised learning methods.",Generic
The morphofunctional diagnosis of different forms of thyroid cancer should be made by immunohistochemical and electron microscopic studies.,Thyroid_Cancer
"This study aims to clarify the presently uncertain value of mass screening for thyroid cancer, which has been performed by physical examination along with mass screening for breast cancer in Zentsuji, Japan since 1983. Among 18,619 subjects, 36 individuals with thyroid cancer (0.19%) were found. The detection rate was 0.40% at the initial screening and 0.10% during subsequent periodic screening. All thyroid cancers were confirmed histologically as well differentiated carcinoma. The tumor size in the mass-screening group (14 +/- 6 mm) was significantly smaller than in patients presenting at an outpatient clinic during the same period (19 +/- 13 mm) (p < 0.05). The incidence of nodal metastases in the mass-screening group (38%) was significantly lower than in the outpatient group (68%) (p < 0.05). Thus mass screening seemed to find thyroid cancers in a relatively early stage. Mass screening for thyroid cancer was economic in this instance because it was performed together with screening for other cancers, such as breast cancer. Thyroid cancer screening required less than one additional minute per subject. The ultimate aim of mass screening is to reduce mortality. No improvement in prognosis from enforced mass screening for thyroid cancer was detected in this study. It cannot be demonstrated that there is sufficient value of mass screening for thyroid cancer to perform it independently despite early cancer detection.",Thyroid_Cancer
"The aim of this study was to explore the effects of the lncRNA ENST00000623984 on colorectal cancer. In this study, the expression levels of ENST000000623984 were first examined in tumor tissue and adjacent normal tissue from 40 patients with colorectal cancer and LoVo cells using quantitative real-time PCR. By siRNA transfection, ENST00000623984 expression was knocked down. Using flow cytometry, cell cycle progression and cell viability were examined in basal and knockdown LoVo cells. The CCK-8 assay was used to assess the cell proliferation rate, and the Transwell assay was used to determine the migration and invasion abilities. The ENST000000623984 expression level was increased in colorectal cancer. Knockdown of ENST000000623984 reduced cell viability, proliferation rate, cell migration and invasion. These results suggested that lncRNA ENST000000623984 may be involved in colorectal cancer development.",Colon_Cancer
"Cancer is now the second leading cause of death in Brazil (after cardiovascular diseases) and a public health problem, with around 500,000 new cases in 2012. Excluding nonmelanoma skin cancer, lung cancer is the second most incident cancer type in men, with 17,210 expected new cases. In women, it is the fifth most incident cancer, with 10,110 expected new cases. The estimated age-adjusted lung cancer mortality rate is about 13/100,000 for men and 5.4/100,000 for women. Lung cancer rates in men increased until the early 1990s and decreased thereafter, especially in the younger population. In contrast, a steady upward trend was observed for women. The positive effects in men were probably due to the successful anti-tobacco campaign conducted in Brazil over the last decades, which led to a decrease in the adult smoking population, from 32% in the early 1980s to 17% in the 2000s. Although the Brazilian National Cancer Institute is strongly committed to providing excellence in multimodality care to cancer patients, limitations in availability and adequate geographic distribution of specialists and well-equipped cancer centers are evident. Major disparities in patient access to proper staging and state-of-the-art treatment still exist. Considering that World Health Organization (WHO) officials estimate that cancer will become the number one cause of death in most developing countries, including Brazil, in the next decades, it is highly recommended for government authorities to implement firm actions to face this tremendous challenge.",Lung_Cancer
"The prevalence of thyroid cancer the most frequent endocrine malignancy, is rapidly increasing. Most of thyroid cancers are relatively indolent, however, some cases still possess a risk of developing into lethal types of thyroid cancer. Regarding its multistep tumorigenesis, the determination of the underlying mechanisms is a vital issue for thyroid cancer therapy. Circular RNAs (circRNAs) are a type of non-coding RNAs with a closed loop structure. Numerous circRNAs have been identified in cancerous tissues. Mounting data recommends that the biological activities of circRNAs, such as serving as microRNA or ceRNAs sponges, interacting with proteins, modulating gene translation and transcription, suggesting that circRNAs will be potential targets as well as agents for the prognosis and diagnosis of diseases, including cancer. Given that circular RNAs acts as oncogenes or tumor suppressors in the thyroid cancer. Several studies documented that circular RNAs via microRNA and protein sponges could regulate a sequences of cellular and molecular mechanisms e.g., apoptosis, angiogenesis, tumor growth, and invasion that are involved in thyroid cancer pathogenesis. Herein, we summarized the role of circular RNAs as therapeutic and diagnostic biomarkers in the thyroid cancer. Moreover, we highlighted the role of these molecules in the pathogenesis of various cancers.",Thyroid_Cancer
"Lung cancer incidence is increasing. Survivability has increased over the last few years particularly in certain subsets and has also been shown to increase with early detection. Chest X-ray and sputum cytology have been the mainstays of screening programs. Although survival is increased, overall mortality rates seem unchanged except in certain subsets. Whether the addition of serum markers or use of monoclonal antibodies, automated cytological, and computer-aided techniques will show decrease in mortality remains to be documented. We recommend yearly chest X-rays, sputum cytology in high-risk patients, i.e., age greater than 65, greater than 20 year history smoking, other significant carcinogenic exposure. Serum markers, monoclonal antibodies, and advanced, automated cytology methods are yet to be tested and therefore should be considered in clinical trials only.",Lung_Cancer
"Recent advances in artificial intelligence have provided ophthalmologists with fast, accurate, and automated means for diagnosing and treating ocular conditions, paving the way to a modern and scalable eye care system. Compared to other ophthalmic disciplines, neuro-ophthalmology has, until recently, not benefitted from significant advances in the area of artificial intelligence. In this narrative review, we summarize and discuss recent advancements utilizing artificial intelligence for the detection of structural and functional optic nerve head abnormalities, and ocular movement disorders in neuro-ophthalmology.",Generic
"Sublobar resection has been utilized as an alternative to lobectomy for the treatment of early-stage lung cancer in patients with compromised preoperative pulmonary function. Early data have suggested higher rates of local recurrence and increased late mortality for sublobar resection as compared with lobectomy. Subsequent studies have been mixed with respect to outcomes. Here we review the existing literature comparing sublobar resection to lobectomy with respect to oncologic and pulmonary outcomes. We also discuss the effect of adjuvant intraoperative brachytherapy to sublobar resection and summarize ongoing clinical trials that compare sublobar resection to sublobar resection plus adjuvant brachytherapy in the treatment of early-stage lung cancer. Finally, based on the current evidence, we provide recommendations as to when sublobar resection might be considered in the treatment of lung cancer.",Lung_Cancer
"Combined genetic and epigenetic analysis of sporadic colon cancer suggest that it can no longer be viewed as a single disease. There are at least three different subsets with distinct clinico-pathologic features, with important implications for preventions, screening, and therapy.",Colon_Cancer
"In the United States, lung cancer remains the leading cause of cancer death in both men and women even though an extensive list of risk factors has been well-characterized. Far and away the most important cause of lung cancer is exposure to tobacco smoke through active or passive smoking. The reductions in smoking prevalence in men that occurred in the late 1960s through the 1980s will continue to drive the lung cancer mortality rates downward in men during the first portion of this century. This favorable trend will not persist unless further reductions in smoking prevalence are achieved.",Lung_Cancer
"Well differentiated thyroid cancer (DTC) in children is characterized by a high rate of response to treatment and low disease-specific mortality. Treatment of children with DTC has evolved toward a greater reliance on evaluation and monitoring with serial serum thyroglobulin measurements and ultrasound examinations. Radioiodine therapy is recommended for thyroid remnant ablation in high-risk patients, treatment of demonstrated radioiodine-avid local-regional disease not amenable to surgical resection, or distant radioiodine-avid metastatic disease. Sufficient time should be given for benefits of radioiodine therapy to be realized, with follow-up monitoring. Re-treatment with radioiodine can be deferred until progression of significant disease manifests.",Thyroid_Cancer
"Telomeres are specialized structures at the ends of chromosomes, consisting of hundreds of repeated hexanucleotides (TTAGGG)n. Genetic integrity is partly maintained by the architecture of telomeres and it is gradually lost as telomeres progressively shorten with each cell replication, due to incomplete lagging DNA strand synthesis and oxidative damage. Telomerase is a reverse transcriptase enzyme that counteracts telomere shortening by adding telomeric repeats to the G-rich strand. It is composed of a telomerase RNA component and a protein component, telomerase reverse transcriptase. In the absence of telomerase or when the activity of the enzyme is low compared to the replicative erosion, apoptosis is triggered. Patients who have inherited genetic defects in telomere maintenance seem to have an increased risk of developing familial benign diseases or malignant diseases. At the somatic level, telomerase is reactivated in the majority of human carcinomas, suggesting that telomerase reactivation is a critical step for cancerogenesis.In sporadic thyroid carcinoma telomerase activity is detectable in nearly 50% of thyroid cancer tissues and some authors proposed that the detection of telomerase activity may be used for differentiating between benign and malignant thyroid tumours. Recently a germline alteration of telomere-telomerase complex has been identified in patients with familial papillary thyroid cancer, characterized by short telomeres and increased expression and activity of telomerase compared to patients with sporadic papillary thyroid cancer.In this report, we will review the role of telomere-telomerase complex in sporadic and familial thyroid cancer.",Thyroid_Cancer
"Lung cancer is the leading cause of cancer death. Although smoking prevention and cessation programs have decreased lung cancer mortality, there remains a large at-risk population. Dismal long-term survival rates persist despite improvements in diagnosis, staging, and treatment. Early efforts to identify an effective screening test have been unsuccessful. Recent advances in multidetector computed tomography have allowed screening studies using low-dose computed tomography (LDCT) to be performed. This set the stage for the National Lung Screening Trial that found that annual LDCT screening benefits individuals at high risk for lung cancer. An understanding of the harmful effects of lung cancer screening is required to help maximize the benefits and decrease the risks of a lung cancer screening program. Although many questions remain regarding LDCT screening, a comprehensive lung cancer screening program of high-risk individuals will increase detection of preclinical and potentially curable disease, creating a new model of lung cancer surveillance and management.",Lung_Cancer
